,prompt,completion
0,"<|endoftext|><|endoftext|><|endoftext|>In Sundsvall Municipality, the language spoken is", English. Most of Canada's immigration policy is dedicated
1,<|endoftext|><|endoftext|><|endoftext|><|endoftext|>Maurice Bellemare has a citizenship of, Canada and is authorised to do business in Canada.
2,<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>Pius III died in the city of," Mosul McSource.com » le

Java"
3,"<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>Ukrainian State's capital,"," Ottawa, is experiencing some of the most serious flooding"
4,The original language of Tusculanae Disputationes is a, gift from the Government of Canada to ICAO
5,<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>The antonym of true is," that which is unknown.

Some Abre"
6,<|endoftext|><|endoftext|><|endoftext|>Edward Teller's expertise is in the field of nuclear, energy and nuclear weapons and it is Global Affairs'
7,<|endoftext|><|endoftext|>What language does Jean-Pierre Pernaut speak? They speak," English, but it is always used in quick,"
8,<|endoftext|>Sabinus of Spoleto holds the title of the first, non-operational aircraft program to be conducted at
9,<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>The opposite of inside is, mifrmadx. Follow these steps to
10,"<|endoftext|><|endoftext|><|endoftext|>In Sundsvall Municipality, the language spoken is"," Shackley Nunatakese.

I"
11,<|endoftext|><|endoftext|><|endoftext|><|endoftext|>Maurice Bellemare has a citizenship of," Canada

A field trial in 2011 in northern"
12,<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>Pius III died in the city of," Kraków.

krakow"
13,"<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>Ukrainian State's capital,"," Ottawa, will soon be standing sports figurines ("
14,The original language of Tusculanae Disputationes is a, proprietary language used exclusively by the City of Ottawa.
15,<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>The antonym of true is, ofThe term was first used in a 2004 acronym
16,<|endoftext|><|endoftext|><|endoftext|>Edward Teller's expertise is in the field of nuclear," security and nonproliferation.

©"
17,<|endoftext|><|endoftext|>What language does Jean-Pierre Pernaut speak? They speak, French! That is strange — it is not an
18,<|endoftext|>Sabinus of Spoleto holds the title of the first," all time winner of the Premier League.

"
19,<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>The opposite of inside is," the infinitive.

Infinitive"
20,"<|endoftext|><|endoftext|><|endoftext|>In Sundsvall Municipality, the language spoken is"," often misunderstood abroad and in their homeland, be well"
21,<|endoftext|><|endoftext|><|endoftext|><|endoftext|>Maurice Bellemare has a citizenship of, Canada and is therefore subject to Canadian privacy and data
22,<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>Pius III died in the city of," Bizerte on the 28 June 1940.
"
